title,album,year
Could Just Be The Bassline,,
Beautiful People (Jack Wins Remix),,2019.0
Grade 8 (Acoustic),Lego House (Remixes),2011.0
Castle On The Hill (Acoustic),,
Fulham Broadway,,2008.0
The A Team - Live and in Session,Live and in Session,
"You Need Me, I Don’t Need You (Loadstar Remix)","You Need Me, I Don’t Need You (Remixes)",
Drunk (Rudimental Remix),Drunk (Remixes),2012.0
Perfect (Robin Schulz Remix),,2017.0
Ed Talking - Intro,,
Thinking Out Loud (Campfire Version),Bridget Jones’s Baby (Original Motion Picture Soundtrack) ,
Castle On The Hill (NWYR Remix),,2017.0
Nightmares - + Random Impulse + Sway + Wretch 32,,
Who You Are (Jessie J Cover),,
I Miss You,,
The A Team (True Tiger Remix),The A Team (Remixes),2011.0
The A Team (Shy FX’s Ackee and Saltfish Remix),The A Team (Remixes),2011.0
The city - raps,,2010.0
Drown me out - + ghetts,,
South of the Border (Andy Jarvis Remix),,2019.0
Sing (Live @ 1Live Radiokonzert),Sing - EP,2014.0
Summer Nights/No Love For The Lonely (Ed Demo),,
Ed sheeran - Pony (cover),,2012.0
Sing (Trippy Turtle Remix),Sing - EP,2014.0
Perfect (With Beyoncé - Live),,2017.0
Photograph Me before you Greek translation,,2020.0
Shape of You (Galantis Remix),,2017.0
Happier (Kasbo Remix),,2018.0
Drunk (Doctor P Remix),Drunk (Remixes),2012.0
Castle on the Hill (Seeb Remix),,
Beautiful People (Danny L Harle Harlecore Remix),,2019.0
Drunk (Lazy Jay’s Wasted in London Remix),Drunk (Remixes),2012.0
Remember The Name ( Traduction Française ),,
Happier (Tiësto’s AFTR:HRS Remix),,2018.0
Castle on the Hill (Throttle Remix),,2017.0
America,Unreleased Songs,
Supermarket Flowers (Remix),,2020.0
Supermarket Flowers (2nd Remix),,2020.0
Trap Queen (Fetty Wap Cover),,2015.0
Beautiful People (Miles Away & AYMEN Remix),,2019.0
Lego House (Subscape Remix),Lego House (Remixes),2011.0
Drunk (Jayglo Remix),Drunk (Remixes),2012.0
Make You Feel My Love (Adele Cover),,2011.0
Masters of wars,,
Drunk (Lazy Jay’s Rave-o-Lution Dub),Drunk (Remixes),2012.0
The a team - live from zugspitze,,
Lego house - goldie remix,,
Afterglow (Acoustic),,2021.0
Could Never Be Mad,Unreleased Songs,
Someone Like You (Adele Cover),,2012.0
Back At Home,Unreleased Songs,
Guiding light - cover,,2012.0
Happier (Cazzette Remix),,2018.0
This Year’s Love,BBC Radio 2 - The Piano Room,
Shape of you -In love with the shape of you,,
