title,album,year
Yellow (Live In Buenos Aires),Live In Buenos Aires,2018.0
Every Teardrop Is a Waterfall (Avicii ‘Tour’ Mix),,2011.0
Don’t Panic (Blue Room Version),The Singles 1999-2006,1999.0
Paradise (Live In Buenos Aires),Live In Buenos Aires,2018.0
Raspberry Beret,,
Adventure of a Lifetime (Live in Buenos Aires),Live In Buenos Aires,2018.0
The Fall of Man,Unreleased Songs,
Lips Like Sugar,,
A Sky Full of Stars (Live In Buenos Aires),Live In Buenos Aires,2018.0
Pour Me,,2005.0
Where the Wild Roses Grow,,
"O - live at royce hall, los angeles",,
How You See the World (Live from Earls Court),The Singles 1999-2006,2006.0
First Steps,Unreleased Songs,
The World Turned Upside Down (2003 Version),Unreleased Songs,
Viva La Vida (Grant’s Uplifting Mix),,
Sometimes It Snows In April,,
A Message 2010,Hope for Haiti Now,
Yellow (The Alpha Remix),Mince Spies [EP],2001.0
Every Teardrop Is a Waterfall (Live In Buenos Aires),Live In Buenos Aires,2018.0
Sweet Marianne,Unreleased Songs,
Clocks (Live in Buenos Aires),Live In Buenos Aires,2018.0
Charlie Brown (Live in Buenos Aires),Live In Buenos Aires,2018.0
Boys That Sing,,
Magic (Live In Buenos Aires),Live In Buenos Aires,2018.0
Bucket For A Crown,Unreleased Songs,2006.0
Hunting High And Low,,
Something Just Like That (Love in Tokyo Version),Love in Tokyo,2018.0
Pour Me (Live at the Hollywood Bowl),The Singles 1999-2006,2005.0
School,Unreleased Songs,
What’s Going On,,
Johnny B. Goode,,
Ring of Fire,,
St. Stephen,Unreleased Songs,
Always in My Head (Live In Buenos Aires),Live In Buenos Aires,2018.0
Gypsy Woman (She’s Homeless),,2019.0
Goodbye and Goodnight,Unreleased Songs,2009.0
Wedding Bells,Unreleased Songs,
Songbird,,
The Man Who Swears,Unreleased Songs,
Fix You (Four Tet Remix),,2015.0
Orphans (Muzi Remix),,2019.0
Champion of the World (Reimagined),Coldplay: Reimagined ,2020.0
Brothers and Sisters (Re-recorded),The Singles 1999-2006,2000.0
Talk (Pre-Release Version),Unreleased Songs,
Talk (Jacques Lu Cont / Thin White Duke remix),Talk - The Remixes,2006.0
Paradise (Fedde le Grand Remix),,2011.0
Until The Water Flows Over,Unreleased Songs,
Clocks (Röyksopp Trembling Heart remix),,
BrokEn (Reimagined),Coldplay: Reimagined ,2020.0
The Hardest Part / Postcards From Far Away,,
Yellow (Love in Tokyo Version),Love in Tokyo,2018.0
Sliding,,
Viva La Vida (Thin White Duke mix),,
Paradise - radio edit,,
Loveless,Unreleased Songs,2009.0
Talk ii,,
One I Love (Demo),Unreleased Songs,
True Love (Davide Rossi Remix),,2014.0
Suzanne,,
Lost? (Acoustic Version),Violet Hill,2008.0
Prospekt’s March / Poppyfields [Prospekt’s March Edition],Prospekt’s March [EP],
Cry Cry Cry (Reimagined),Coldplay: Reimagined ,2020.0
Hot 100 Chart History,,
What the World Needs Now,,
Paradise - remix,,
A Head Full of Dreams (Love in Tokyo Version),Love in Tokyo,2018.0
Brothers + Sisters (Demo),Ode to Deodorant / Brothers + Sisters,1998.0
Poor Me,,
Talk (Thin White Duke mix),,
"Midnight (Live at The Royal Albert Hall, London)",Ghost Stories Live 2014,2014.0
Talk (Junkie XL Mix),Talk - The Remixes,2006.0
Shiver (Acoustic from Jo Whiley Lunchtime Social),Trouble,2000.0
Yellow (Acoustic from Jo Whiley Lunchtime Social),Acoustic [EP],2000.0
One i love - live in sydney,,
See you soon - live in sydney,,
See You Soon (EP),,
Shiver (Live),,
God Put a Smile Upon Your Face (Def Inc. remix),,
’til Kingdom Come (live),,
Politik - live in sydney,,
Talk (Ulrich Schnauss Remix),Unreleased Songs,
Charlie Brown (David Audé Remix),,2012.0
"Oceans - live at e-werk, cologne",,
See You Soon (Live),,
White Christmas,,
"True love - live at the enmore theatre, sydney",,
Sparks (Live @ Rockefeller Music Hall),Trouble ‒ Norwegian Live EP,2001.0
Spies (Blue Room Version),Flavour of the Label,
What’s Going On Feat. Bono,,
Charlie Brown (Jacques Lu Cont Remix),,
Midnight (Phones 4AM Remix),Midnight (Remixes),2014.0
Shiver - live in sydney,,
Paradise (Love in Tokyo Version),Love in Tokyo,2018.0
Talk (Dave Audé Club Mix),Unreleased Songs,
Clocks/Relojes,Rhythms del Mundo: Revival,
Talk (François K Dub),Talk - The Remixes,2006.0
What If (Tom Lord Alge Mix),What If,2006.0
Yellow (Live at KCRW),Live at KCRW’s “Morning Becomes Eclectic”,2000.0
The Scientist (Love in Tokyo Version),Love in Tokyo,2018.0
Paradise - Fedde Le Grand Edit,,
Glass Of Water (Live),,
Trouble (Live at KCRW),Live at KCRW’s “Morning Becomes Eclectic”,2000.0
Hymn For The Weekend Lyrics | Coolplay |,,
Politik (Live),,
The Hardest Part (Tom Lord-Alge mix),,
"Lost@ - Live at the United Center, Chicago, IL",Lost!,2008.0
Spies (Live at KCRW),Live at KCRW’s “Morning Becomes Eclectic”,2000.0
Bigger Stronger (Live from Norway),Don’t Panic,2001.0
Viva La Vida (Grant’s Uplifting original mix),,
Midnight (Henrik Schwarz Remix),Midnight (Remixes),2014.0
White Shadows (Morgan Page Bootleg remix),,
Talk (François Kevorkian dub),,
Yellow (Live @ Rockefeller Music Hall),Trouble ‒ Norwegian Live EP,2001.0
Trouble (Live @ Rockefeller Music Hall),Trouble ‒ Norwegian Live EP,2001.0
Don’t Panic (Live at KCRW),Live at KCRW’s “Morning Becomes Eclectic”,2000.0
Everything’s Not Lost (Live @ Rockefeller Music Hall),Trouble ‒ Norwegian Live EP,2001.0
Shiver (Live @ Rockefeller Music Hall),Trouble ‒ Norwegian Live EP,2001.0
