title,album,year
Harleys In Hawaii (Win and Woo Remix),,2019.0
Small Talk (Sofi Tukker Remix),,2019.0
Waking Up in Vegas (Calvin Harris Extended Remix),Waking Up in Vegas (The Remixes) - EP,2009.0
Bon Appétit (MUNA Remix),,2017.0
E.T. (Noisia Remix),E.T. (The Remixes) - EP,2011.0
Roar (DallasK Remix),"Dance (RED) Save Lives, Vol. 2",2013.0
Rita My love,Unreleased Songs,2018.0
E.T. (Tiësto Remix) [Club Edit],E.T. (The Remixes) - EP,2011.0
I Kissed a Girl (Jason Nevins Funkrokr Extended Mix),I Kissed a Girl - EP,
Waking Up in Vegas (MTV Unplugged),MTV Unplugged,2009.0
I Can,Fingerprints [Shelved],
Birthday (PRISMATIC WORLD TOUR VERSION),,
Smile (Giorgio Moroder Remix),,2020.0
Teenage Dream (Vandalism Le Pop Mix),Teenage Dream - Remix EP,2010.0
California Gurls (Manhattan Clique Long Beach Mix),California Gurls (The Remixes) - EP,2010.0
Small Talk (Lost Kings Remix),,2019.0
Never Really Over (Syn Cole Remix),,2019.0
Hot N Cold (Manhattan Clique Remix) [Radio Edit],Hot N Cold - EP,2008.0
Birthday (Le Youth Extended Remix),,2014.0
I Kissed a Girl (Dr. Luke and Benny Blanco Extended Mix),I Kissed a Girl (Remixes) - EP,2008.0
Small Talk (White Panda Remix),,2019.0
Hot N Cold (Manhattan Clique Remix) [Long Edit],Hot N Cold (Remixes) - EP,2008.0
The One That Got Away (Tommie Sunshine & Disco Fries Club Mix),The One That Got Away (The Remixes) - EP,2011.0
Bad Photographs,,
E.T. (Johnson Somerset & John Monkman Remix),E.T. (The Remixes) - EP,2011.0
Part of Me (Jacques Lu Cont’s Thin White Duke Mix),Part of Me (Remix) - EP,
E.T. (Dave Audé Remix) [Radio Edit],E.T. (The Remixes) - EP,2011.0
This Is How We Do (Grandtheft Remix),,2014.0
The One That Got Away (Mixin Marc & Tony Svejda Peak Hour Club Mix),The One That Got Away (The Remixes) - EP,2011.0
The One That Got Away (R3hab Club Mix),The One That Got Away (The Remixes) - EP,2011.0
I Kissed a Girl (Jason Nevins Funkrokr Edit),I Kissed a Girl (Remixes) - EP,2008.0
Teenage Dream (Manhattan Clique Remix),Teenage Dream - Remix EP,2010.0
The One That Got Away (Plastic Plates Club Mix),The One That Got Away (The Remixes) - EP,2011.0
Never Really Over (Wow & Flutter Remix),,
Reborn,,
Playing House,Unreleased Songs,
Birthday (Octava Disco House Radio Edit),,2014.0
Part of Me (Jacques Lu Cont’s Thin White Duke Radio Edit),Part of Me (Remix) - EP,2012.0
Smile (M-22 Remix),,2020.0
Teenage Dream (Vandalism V8 Vocal Remix),Teenage Dream - Remix EP,2010.0
Look But Don’t Touch,Fingerprints [Shelved],
Watch Me Walk Away,Unreleased Songs,
Smile (Marshall Jefferson Remix),,2020.0
My Boyfriend’s Ex-Girlfriend,Unreleased Songs,
Teenage Dream (Kaskade Club Remix),,2020.0
Waking Up in Vegas (Jason Nevins Electrotec Dub),Waking Up in Vegas (The Remixes) - EP,2009.0
Love Can Stand on His Own,Unreleased Songs,
Smile (Tough Love Remix),,2020.0
Waking Up in Vegas (Manhattan Clique Bellagio Remix),Waking Up in Vegas (The Remixes) - EP,2009.0
Waking Up in Vegas (Manhattan Clique Luxor Dub),Waking Up in Vegas (The Remixes) - EP,2009.0
Waking Up in Vegas (Jason Nevins Electrotec Club Remix),Waking Up in Vegas (The Remixes) - EP,2009.0
Lass Frooby Noo,,
Dark horse -there no horse,,
