title,album,year
Marry the Night (Zedd Remix),Born This Way (International Special Edition Version),2011.0
Reel Cool,Unreleased Songs,
The Fame (Demo),Unreleased Songs,
Christmas Tree (Demo),Unreleased Songs,
Oh Baby (Demo),Unreleased Songs,2018.0
"Bewitched, Bothered and Bewildered",Cheek to Cheek,
The Manifesto of Chromatica,,2020.0
Judas (DJ White Shadow Remix),Born This Way (International Special Edition Version),2011.0
Chromatica 1 (Concept),,
You and I (Live),A Very Gaga Holiday,
John Wayne - Scheibe - Alejandro (ACT II),,
Text You Pictures,Unreleased Songs,
Optimist,Unreleased Songs,
Bad Romance (DJ Dan Remix),Bad Romance (The Remixes Pt. 1 & 2),
Black Jesus (Demo),Unreleased Songs,2018.0
Fashion of His Love (Fernando Garibay Remix),Born This Way (International Special Edition Version),2011.0
Yeah Yeah,,
Fashion! (Demo),Unreleased Songs,
Tokyo,,2017.0
Bad Romance (Starsmith Remix),Bad Romance (The Remixes Pt. 1 & 2),
LG6 SONG,,2020.0
G.U.Y an ARTPOP film,,2014.0
Beauty,,2019.0
MANiCURE (Swinefest Demo),,
LoveGame - Chew Fu Ghettohouse Fix,LoveGame The Remixes (International Version),
When She Go (Demo),Unreleased Songs,2018.0
Private Audition,Unreleased Songs,
Jewels and drugs / Aura / Sexxx Dreams / Mary Jane Holland / Alejandro (artRAVE paris version),,
Rock Show (Demo),Unreleased Songs,
Alejandro (The Sound of Arrows Remix),The Remix,
Your Freakin’ Car (Demo),Unreleased Songs,
Quicksand (Demo),Unreleased Songs,
Bad Romance (Bimbo Jones Radio Remix),Bad Romance (The Remixes Pt. 1 & 2),
Just Dance (Trevor Simpson Edit),,
Yay Ha (Demo),Unreleased Songs,2006.0
Just Dance - Live at Cherrytree House Stripped Down Version,The Cherrytree Sessions - EP,2009.0
Bad Romance (Chew Fu H1N1 Fix),Bad Romance (The Remixes Pt. 1 & 2),
Diamond Heart - A-YO - Poker Face - Perfect Illusion (ACT I),,2017.0
Super Lover,Unreleased Songs,
Fountain Of Truth,Unreleased Songs,2006.0
Bad Romance (Grum Remix),Bad Romance (The Remixes Pt. 1 & 2),
Do What U Want (DJ White Shadow Remix),Do What U Want (Remixes),
Weather Girl (Demo),Unreleased Songs,
Judas - Goldfrapp Remix,Born This Way: The Remix,2011.0
I Don’t Want Your Love*,Unreleased Songs,
Born This Way - Zedd Remix,Born This Way: The Remix,2011.0
"Eh, Eh (Nothing Else I Can Say) - Piano and Human Beat Box Version",The Cherrytree Sessions - EP,2009.0
Superstar (The Simpsons Song),,
"Go, Go, Go (Demo)",Unreleased Songs,
Just dance - Love Game - Telephone (ACT III),,
Musicland,Unreleased Songs,
Spin U Around (Demo),Unreleased Songs,
Babylon (Haus Labs),,
Telephone (Passion Pit Remix),The Remix,
Just Dance (Richard Vission Remix),The Remix,
Born This Way - Twin Shadow Remix,Born This Way: The Remix,
Telephone (Fanmade Version),Unreleased Songs,2010.0
Applause (Purity Ring Remix),Applause (Remixes),
Million Reasons (Andrelli Remix),,2017.0
Paparazzi (Stuart Price Remix),The Remix,
Judas - Hurts Remix,Born This Way: The Remix,2011.0
Bad Romance (Hercules & Love Affair Remix),Bad Romance (The Remixes Pt. 1 & 2),
Little Monsters,Unreleased Songs,2012.0
Bloody Mary - Dancin In Circle - Paparazzi - Angel Down - Joanne (ACT V),,
Boys Boys Boys (Manhattan Clique),The Remix,
Poker Face (LLG vs. GLG Radio Mix),The Remix,
Do What U Want (Samantha Ronson Remix),Do What U Want (Remixes),
Do What U Want (Kronic Remix),Do What U Want (Remixes),
Filthy Pop (Rob Fusari Version),Unreleased Songs,
Rain On Me (Demo Solo),,
Black Jesus + Amen Fashion - Michael Woods Remix,Born This Way: The Remix,
Wundaland (Demo),Unreleased Songs,
"Eh, Eh (Nothing Else I Can Say) (Pet Shop Boys Radio Mix)",The Remix,
"Eh, Eh (Nothing Else I Can Say) [FrankMusik “Cut Snare Edit” Remix]",The Remix,
Bad Romance (Dave Audé Radio Mix),Bad Romance (The Remixes Pt. 1 & 2),
Born This Way (Michael Woods Remix),"Born This Way (The Remixes, Pt. 2)",
Dance in the Dark (Monarchy ‘Stylites’ Remix),The Remix,
The DJ Vice Megamix,,
The Fierce Mama-Gaga,,2020.0
Do What U Want (Red Ant & Amp Lexvas Deep House Remix),Do What U Want (Remixes),
Bad Romance (Bimbo Jones Vocal Mix),Bad Romance (The Remixes Pt. 1 & 2),
Do What U Want (Steven Redant Madrid Radio Remix),Do What U Want (Remixes),
Hollywood (Demo),Unreleased Songs,
Do What U Want (Steven Redant Barcelona Remix),Do What U Want (Remixes),
Bad romance / Applause / Swine / Gyspy (artRAVE paris version),,
Prelude to Exodus,,2021.0
Lady Gaga takes tea with Mr Fry,,
Scheiße - Guena LG Club Remix,Born This Way: The Remix,
Electric Chapel - Two Door Cinema Club Remix,Born This Way: The Remix,
Artpop (artRAVE paris version),,2013.0
The Fame (Glam As You Remix) [Radio Edit Version],The Remix,
The Edge of Glory - Foster The People Remix,Born This Way: The Remix,2011.0
Applause / Come To Mama / The edge Of Glory / Born This Way,,
The Edge of Glory/Judas/Aura/Sexxx Dreams/Mary Jane Holland/Alejandro (artRAVE paris version),,2014.0
Applause - Come To Mama - Edge Of Glory - Born This Way (ACT IV),,
Yoü and I - Metronomy Remix,Born This Way: The Remix,
Do What U Want (Steven Redant Madrid Club Remix),Do What U Want (Remixes),
Americano - Gregori Klosman Remix,Born This Way: The Remix,
Born This Way (Bimbo Jones Club Remix),"Born This Way (The Remixes, Pt. 2)",2011.0
Master Heartbreaker,Unreleased Songs,
G.U.Y (artRAVE paris version),,2013.0
Love Game/Poker Face - Medley - Live at MMVA 09,,
Paparazzi (Demo),Unreleased Songs,
Paparazzi / Do What U Want / Dope  (artRAVE paris version),,
Born This Way (Chew Fu Born to Fix Remix),"Born This Way (The Remixes, Pt. 1)",2011.0
The Edge of Glory - Sultan & Ned Shepard Remix,Born This Way: The Remix,2011.0
Bad Romance - The Cure ( ACT VI),,
Born This Way (Grum Remix),"Born This Way (The Remixes, Pt. 2)",2011.0
Fever (Demo),Unreleased Songs,
Glamour Zombie,,
LoveGame - Robots To Mars Remix,LoveGame - Single,2009.0
Million Reasons (KVR Remix),,2017.0
The Edge of Glory (Cahill Club Mix),The Edge of Glory (The Remixes),2011.0
Yoü and I - Wild Beasts Remix,Born This Way: The Remix,
Born This Way (LA Riots Remix),"Born This Way (The Remixes, Pt. 1)",2011.0
Judas (Thomas Gold Remix),Axtone Presents Thomas Gold,2011.0
Donatellas (artRAVE paris version),,2013.0
The Edge of Glory (Bare Noize Remix),The Edge of Glory (The Remixes),2011.0
Manicure + Cake Like Lady Gaga (artRAVE paris version),,
The Edge of Glory (Porter Robinson Remix),The Edge of Glory (The Remixes),2011.0
Shallow (Joe Biden Election Night Rally 2020),Joe Biden Election Night 2020 Rally,2020.0
Venus (artRAVE paris version),,
Do Me Right,,
Orlando speech,,2016.0
911 (Madeon Remix),,2020.0
HOODIE,,2020.0
Putash,,
Poker Face / Telephone (artRAVE paris version),,
The Sound of Music Medley,,2015.0
Stupid Love (MNNR Remix),,2020.0
The Edge of Glory (Funkagenda Remix),The Edge of Glory (The Remixes),2011.0
You and ï / born this way (artRAVE paris version),,
New York Girls,,1.0
Yoü and I (Joe Biden Election Night Rally 2020),Joe Biden Election Night 2020 Rally,2020.0
Telephone (DJ Dan Vocal Remix),Telephone (The Remixes),
Always remember us this way Greek translation,,2021.0
