song_a,album_a,song_b,album_b,similarity
California Gurls,Teenage Dream,California Gurls (Passion Pit Main Mix),,0.9778
California Gurls,Teenage Dream,California Gurls (Armand Van Helden Remix),California Gurls (The Remixes) - EP,0.8369
California Gurls,Teenage Dream,California Gurls (Demo),,0.9995
California Gurls,Teenage Dream,Dark Horse (Elephante Remix),,0.6254
California Gurls,Teenage Dream,California Gurls (Innerpartysystem Main Mix),California Gurls (The Remixes) - EP,0.7013
California Gurls,Teenage Dream,Bon Appétit (Martin Jensen Remix),,0.6601
California Gurls,Teenage Dream,Bon Appétit (MUNA Remix),,0.6141
California Gurls,Teenage Dream,California Gurls (Manhattan Clique Long Beach Mix),California Gurls (The Remixes) - EP,0.9516
Smile,Smile (Fan Edition),Smile (Original Version),Smile (Deluxe Edition),0.9127
Smile,Smile (Fan Edition),Smile (Joel Corry Remix),,0.9119
Smile,Smile (Fan Edition),Smile (Giorgio Moroder Remix),,0.9891
Smile,Smile (Fan Edition),Smile (M-22 Remix),,0.8229
Smile,Smile (Fan Edition),Smile (Marshall Jefferson Remix),,0.9382
Smile,Smile (Fan Edition),Smile (Tough Love Remix),,0.8471
Daisies,Smile (Fan Edition),Daisies (Can’t Cancel Pride),,1.0
Daisies,Smile (Fan Edition),Daisies (Acoustic),Smile (Fan Edition),0.9949
Daisies,Smile (Fan Edition),Daisies (Oliver Heldens Remix),Smile (Fan Edition),0.9719
Daisies,Smile (Fan Edition),Daisies (MK Remix),,0.9934
Teenage Dream,Teenage Dream,Birthday,PRISM,0.6889
Teenage Dream,Teenage Dream,One of the Boys,Fingerprints [Shelved],0.6025
Teenage Dream,Teenage Dream,Tommie Sunshine’s Megasix Smash-Up,Teenage Dream: The Complete Confection,0.6207
Teenage Dream,Teenage Dream,Use Your Love,Ur So Gay - EP,0.6009
Teenage Dream,Teenage Dream,Damn,Unreleased Songs,0.6236
Teenage Dream,Teenage Dream,Hook Up,(A) Katy Perry [Shelved],0.6747
Teenage Dream,Teenage Dream,Whatever You Say,,0.6273
Teenage Dream,Teenage Dream,Time’s Up,Unreleased Songs,0.6301
Teenage Dream,Teenage Dream,Wanna Be,,0.6103
Teenage Dream,Teenage Dream,Teenage Dream (Vandalism Le Pop Mix),Teenage Dream - Remix EP,0.9978
Teenage Dream,Teenage Dream,Teenage Dream (Manhattan Clique Remix),Teenage Dream - Remix EP,0.9392
Teenage Dream,Teenage Dream,Teenage Dream (Vandalism V8 Vocal Remix),Teenage Dream - Remix EP,0.8973
Teenage Dream,Teenage Dream,Teenage Dream (Kaskade Club Remix),,0.9908
Witness,Witness,Witness (Demo),,0.9477
Hot n Cold,One of the Boys,Birthday,PRISM,0.6062
Hot n Cold,One of the Boys,Circle the Drain,Teenage Dream,0.6067
Hot n Cold,One of the Boys,Brick by Brick,Fingerprints [Shelved],0.6131
Hot n Cold,One of the Boys,Damn,Unreleased Songs,0.6019
Hot n Cold,One of the Boys,Hook Up,(A) Katy Perry [Shelved],0.6608
Hot n Cold,One of the Boys,Broken,,0.6188
Hot n Cold,One of the Boys,Speed Dialin’,Unreleased Songs,0.6295
Hot n Cold,One of the Boys,Hot N Cold (Bimbo Jones Remix Radio Edit),The Hello Katy Australian Tour EP,0.9608
Hot n Cold,One of the Boys,In Between,Fingerprints [Shelved],0.6016
Hot n Cold,One of the Boys,Hot N Cold (Yelle Remix),Hot N Cold (Remixes) - EP,0.6906
Hot n Cold,One of the Boys,Hot N Cold (Innerpartysystem Main),Hot N Cold (Remixes) - EP,0.8908
Hot n Cold,One of the Boys,Wanna Be,,0.6475
Hot n Cold,One of the Boys,I Can,Fingerprints [Shelved],0.6105
Hot n Cold,One of the Boys,Hot N Cold (Manhattan Clique Remix) [Radio Edit],Hot N Cold - EP,0.9605
Hot n Cold,One of the Boys,Hot N Cold (Manhattan Clique Remix) [Long Edit],Hot N Cold (Remixes) - EP,0.8851
Last Friday Night (T.G.I.F.),Teenage Dream,Last Friday Night (T.G.I.F.) [Remix],Teenage Dream: The Complete Confection,0.6626
Birthday,PRISM,Cry About It Later,Smile (Fan Edition),0.6281
Birthday,PRISM,Champagne Problems,Smile (Fan Edition),0.6071
Birthday,PRISM,One of the Boys,Fingerprints [Shelved],0.6036
Birthday,PRISM,Dark Horse (Pitbull Remix),,0.6092
